title,issueNumber,publisher,publicationDate,writer,artist,description,coverUrl,condition,marketValue,status,purchasePrice,salePrice,saleDate,salePlatform,id,tags
Imperio Secreto,1,OVNI PRESS,2018-02-01,SPENCER,Spencer,"Corresponde a Secret Empire #0-10 USA, Free Comic Book Day 2017 y Secret Empire: Omega

El Capitán América ha estado viviendo una mentira. El héroe más grande y respetado del mundo es, en verdad… ¡un soldado y fel creyente de la causa de Hydra! ¿Lograrán detenerlo los héroes que alguna vez pelaron a su lado? ¡Hail Hydra!


TAPA BLANDA - 440 pag",https://http2.mlstatic.com/D_NQ_NP_2X_616544-MLA88904711779_072025-F.webp,9,75000,available,,,,,1753994910771,
X-MEN Dinastia de X/ Potencias de X 1/4,1,Panini Comics Argentina,2021-01-01,Hickman,Silva/Larraz,"Mientras dormían, el mundo cambió Con esa frase, el Profesor X presentó a la gente de la tierra la nueva nación mutante de Krakoa. Es un refurgio para todos los homo superior, con sus propias reglas y su propio lenguaje. A cambio de reconocimiento internacional, él le ofrecerá a la humanidad grandes avances científicos, nacidos de la particular flora de Krakoa. Pero el tiempo de la coexistencia se acabó. el viejo sueño está muerto… ahora es momento de uno nuevo y el impacto de las acciones de Xavier se sentirán dentro de cientos, incluso miles de años.",https://phoenixreborn.com.ar/wp-content/uploads/2025/07/IXMEN001.webp,9,10000,available,,,,,1753995505429,
X-MEN Dinastia de X/ Potencias de X 2/4,2,Panini Comics Argentina,2021-01-01,Hickman,Larraz/ Silva,"¡La próxima gran evolución de los X-Men! Descubre la verdad sobre uno de los más cercanos aliados de los mutantes. A medida que el profesor Xavier siembra las semillas del pasado, ¡el futuro de los X-Men se convierte en un problema para todos los mutantes! La batalla comienza... ¡El visionario escritor Jonathan Hickman (Cuatro Fantásticos, Avengers, Secret Wars) transforma el pasado, presente y futuro de los mutantes!

",https://http2.mlstatic.com/D_NQ_NP_2X_625804-MLA53435734399_012023-F.webp,9,10000,available,,,,,1753995697413,
X-MEN Dinastia de X/ Potencias de X 3/4,3,Panini Comis Argentina,2021-01-01,Hickman,Larraz / Silva,"¡La próxima gran evolución de los X-Men! El escuadrón de Cíclope se dirige al espacio en defensa del sueño de Xavier, donde el fuego y la perdición esperan a algunos de los mejores X-Men. Además: Mr Siniestro y más sobre la historia de la isla de Krakoa.

ONATHAN HICKMAN, PEPE LARRAZ
X-MEN 03 DINASTIA DE X POTENCIAS DE X (3 DE 4)
PANINI MARVEL ARGENTINA

Páginas: 136
Formato: 17x26
Peso: 0.25 kgs.
ISBN: 978-607568326-3",https://http2.mlstatic.com/D_NQ_NP_2X_861718-MLA50180973472_062022-F.webp,10,10000,available,,,,,1753995880188,
X-MEN Dinastia de X/ Potencias de X 4/4,4,Panini Comics Argentina,2021-01-01,Hickman,Larraz / Silva,"¡La próxima gran evolución de los X-Men! Es el final de la aclamada redefinción de los X-Men. Este cuarto capítulo sobre Charles, Magneto, Moira, Logan y compañía consolida el nuevo statu quo de los X-Men en Krakoa y anuncia la próxima era, pero también muestra la verdad sobre el sueño de Xavier y el futuro de los mutantes. ¡El visionario escritor Jonathan Hickman (Cuatro Fantásticos, Avengers, Secret Wars) transforma el universo mutante para siempre!

Peso: 600.00 gr.

Dimensiones: 17.00 x 1.00 x 24.00 cm

Autor: Jonathan Hickman, Larraz

Formato: RUSTICA

Marca: Panini Argentina

Páginas 112",https://entelequia.com.ar/storage/product_arch/2021/06/potencias.webp,9,10000,available,,,,,1753996076974,
ETERNOS Del Genesis al Apocalipsis,One shot,Panini Comics,,Gaiman,John Romita Jr.,"¿Qué ha pasado con los Eternos? Hace casi medio siglo, la leyenda de los cómics Jack ""El Rey"" Kirny regresó a la Casa de las Ideas con su idea más grande: ¡el universo de los Eternos! Su creación fue el resultado de la incesante curiosidad de Kirny por el origen del hombre y sus mitologías, pero como muchos de los conceptos del Rey, definitivamente se adelantó a su tiempo. Saltamos a 2006: los creadores superestrellas Neil Gaiman y John Romita Jr. asumieron a estos conceptos con valentía y con una mano amorosa. En el proceso, contaron una historia fresca y divertida, llena de misterio, suspenso y poder majestuoso, mientras se concentraban en establecer las creaciones de Kirny como una parte vital del Universo Marvel de una vez por todas.

AUTOR: Neil Gaiman - John Romita Jr.
Editorial: PANINI COMICS
ISBN: 978-607-568-650-9
Páginas: 224
Formato: 17,5x26,5 (tapa dura)
Idioma: Español",https://http2.mlstatic.com/D_NQ_NP_760893-MLA53057037997_122022-O.webp,10,20000,available,,,,,1753997070262,
Excelsior Avengers Infinito,One shot,OVNI PRESS,,HICKMAN JONATHAN,Opeña,"Los Constructores se mueven entre mundos, dando y quitando vida. Los Avengers saben que la Tierra está en su camino y van al espacio a interceptarlos. Pero su ausencia es la oportunidad ideal para que Thanos invada nuestro hogar. ¿O hay algo más escondido entre los Inhumanos?

Con índice: No
Tapa del libro: Blanda
Género: Literatura y ficción.
Edad mínima recomendada: 12 años.
Número de páginas: 416.
Peso: 700g.
ISBN: 9789877241884.
Dimensiones: 18cm de ancho x 28cm de alto.",https://http2.mlstatic.com/D_NQ_NP_834649-MLU79254481903_092024-O.webp,9,20000,available,,,,,1753997394589,
Libro Inhumanos Vs. X-men / Ovni Press,One shot,OVNI PRESS,2017-01-01,Charles Soule,Kenneth Rockafort," El enfrentamiento definitivo que colocará a los X-Men y a los Inhumanos en una encrucijada violenta, sangrienta y trágica

Editorial: OVNI PRESS
Idioma: Español
Encuadernación / Colección: SIN COLECCION
ISBN: 9789877243055",https://http2.mlstatic.com/D_NQ_NP_2X_614322-MLA47750621577_102021-F.webp,9,20000,available,,,,,1753997823907,
Civil War II,One shot,Marvel,2017-05-12,Bendis,Marquez,"Sobre esta edición
Contiene: Civil War II #0 al 8 (Julio de 2016 a Febrero de 2017), Civil War II 'The Accused' (Octubre de 2016), Civil War II 'The Fallen' (Octubre de 2016), Civil War II 'The Oath' (Marzo de 2017), de la edición USA.

Argumento
Un nuevo inhumano emerge, con la habilidad de predecir el futuro, y esto pone en alerta a toda la comunidad superheroica del Universo Marvel. Se definen los bandos, caen héroes, los aliados se transforman en el enemigo y las repercusiones de la batalla se replicarán en todo el Universo Marvel para siempre.",https://http2.mlstatic.com/D_NQ_NP_2X_828275-MLA49953415503_052022-F.webp,9,30000,available,,,,,1753998360281,
CIVIL WAR 01 (COLECCION IMPRESCINDIBLES),1,OVNI PRESS,2022-01-01,Millar,McNiven,"VERSION CON ESTUCHE

Contiene: Civil War #1 al 7.- 192 pags.-

El panorama del Universo Marvel está cambiando, y es hora de elegir: ¿De qué lado estás? Un conflicto se ha estado gestando durante más de un año, amenazando con enfrentar amigo contra amigo, hermano contra hermano… ¡y todo lo que tomará será un único traspié para costarle su vida a miles y encender la mecha! Mientras la guerra reclama sus primeras víctimas, nadie está a salvo a la vez que equipos, amigos y familias comienzan a desmoronarse. El crossover que reescribió todas las reglas, Civil War, cuenta con la participación de Spider-Man, los Nuevos Avengers, los Cuatro Fantásticos, los X-Men, ¡y el panteón completo de Marvel!",https://http2.mlstatic.com/D_NQ_NP_2X_794435-MLA83261498809_032025-F.webp,9,15000,available,,,,,1753999485170,
